PromptEnergy_MeV,Geoneutrinos,Accidentals,Li9_He8,C13_alpha_n_O16,FastNeutrons,WorldReactor_antinu,AtmosphericNC
0.8213399503722084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8436724565756824,0.0,1.1721854304635762,0.0,0.0,0.0,0.0,0.0
0.8660049627791564,0.6675496688741722,2.3642384105960264,0.0,0.0,0.0,0.0,0.0
0.8883374689826302,1.4066225165562916,3.5562913907284766,0.0,0.0,0.0,0.0,0.0
0.9106699751861043,2.4198675496688744,2.3841059602649004,0.0,0.0,0.0,0.11920529801324503,0.0
0.9330024813895782,3.6834437086092717,1.1920529801324502,0.0,0.0,0.0,0.17029328287606432,0.0
0.9553349875930521,4.9470198675496695,1.0927152317880793,0.01986754966887417,0.0,0.0,0.2256385998107852,0.0
0.9776674937965261,6.150993377483444,2.1854304635761586,0.04635761589403973,0.0,0.0,0.28524124881740776,0.0
1.0,7.247682119205298,3.258278145695364,0.07284768211920528,0.07663197729422895,0.0,0.3533585619678335,0.0
1.022332506203474,8.249006622516557,3.2384105960264895,0.0,0.1021759697256386,0.0,0.39593188268684953,0.0
1.0446650124069479,9.321854304635762,3.3377483443708607,0.09933774834437084,0.12771996215704826,0.0,0.4555345316934721,0.0
1.066997518610422,10.32317880794702,3.516556291390728,0.09933774834437084,0.16177861873226113,0.0,0.510879848628193,0.0
1.0893300248138957,11.264900662251655,3.695364238410596,0.07947019867549668,0.18732261116367077,0.0,0.5875118259224219,0.0
1.1116625310173698,12.14701986754967,3.7549668874172184,0.07947019867549668,0.19583727530747397,0.0,0.6684011352885525,0.0
1.1339950372208436,12.94569536423841,3.695364238410596,0.07947019867549668,0.2043519394512772,0.0,0.7535477767265846,0.0
1.1563275434243176,13.517880794701988,3.615894039735099,0.0,0.21286660359508042,0.0,0.8344370860927152,0.0
1.1786600496277915,14.042384105960267,3.4569536423841054,0.0,0.22138126773888364,0.0,0.9068117313150426,0.0
1.2009925558312655,14.554966887417221,3.3576158940397347,0.0,0.22989593188268687,0.0,0.9621570482497634,0.0
1.2233250620347396,15.043708609271526,3.2781456953642376,0.0,0.2384105960264901,0.0,1.0047303689687794,0.0
1.2456575682382134,15.544370860927156,3.258278145695364,0.0,0.2554399243140965,0.0,1.0260170293282875,0.0
1.2679900744416872,15.961589403973512,3.2384105960264895,0.0,0.2639545884578997,0.0,1.0345316934720907,0.0
1.2903225806451613,16.27152317880795,3.2980132450331126,0.0,0.27246925260170296,0.0,1.0302743614001892,0.0
1.3126550868486353,16.41456953642384,3.437086092715232,0.0,0.2894985808893094,0.0,1.0089877010406811,0.0
1.3349875930521091,16.200000000000003,3.596026490066225,0.0,0.3065279091769158,0.0,0.9834437086092715,0.0
1.3573200992555832,15.389403973509934,3.7748344370860925,0.0,0.32355723746452225,0.0,0.957899716177862,0.0
1.3796526054590572,13.923178807947021,3.8940397350993377,0.0,0.33207190160832545,0.0,0.957899716177862,0.0
1.401985111662531,11.849006622516557,2.662251655629139,0.0,0.34058656575212864,0.0,0.97918637653737,0.0
1.4243176178660049,9.381456953642383,1.3311258278145695,0.0,0.34910122989593184,0.0,1.0473036896877956,0.0
1.446650124069479,6.937748344370861,1.6092715231788077,0.09271523178807947,0.35,0.0,1.1494796594134342,0.0
1.468982630272953,4.994701986754967,3.2384105960264895,0.09271523178807947,0.35,0.0,1.281456953642384,0.0
1.4913151364764268,3.719205298013245,4.847682119205297,0.09271523178807947,0.35,0.0,1.4304635761589404,0.0
1.5136476426799006,3.0754966887417217,4.788079470198674,0.1456953642384106,0.35,0.0,1.5879848628192998,0.0
1.5359801488833746,2.8966887417218543,4.629139072847682,0.1986754966887417,0.35,0.0,1.7199621570482497,0.0
1.5583126550868487,2.9920529801324505,4.331125827814569,0.0,0.35,0.0,1.8306527909176915,0.0
1.5806451612903225,3.0874172185430466,3.7350993377483444,0.2582781456953642,0.35,0.0,1.890255439924314,0.0
1.6029776674937963,3.1827814569536423,3.1986754966887414,0.31125827814569534,0.35,0.0,1.9157994323557237,0.0
1.6253101736972706,3.2781456953642385,2.801324503311258,0.314569536423841,0.35,0.0,1.9200567644276254,0.0
1.6476426799007444,3.385430463576159,2.781456953642384,0.3675496688741721,0.35,0.0,1.9115421002838222,0.0
1.6699751861042182,3.468874172185431,2.781456953642384,0.42384105960264895,0.35,0.0,1.8945127719962158,0.0
1.6923076923076923,3.5523178807947025,2.7615894039735096,0.4801324503311258,0.35,0.0,1.8774834437086094,0.0
1.7146401985111663,3.6238410596026496,2.7218543046357615,0.4834437086092715,0.35,0.0,1.860454115421003,0.0
1.7369727047146402,3.707284768211921,2.76158940397351,0.4867549668874172,0.35,0.0,1.8434247871333964,0.0
1.7593052109181142,3.7788079470198683,2.9403973509933774,0.4900662251655629,0.35,0.0,1.8221381267738885,0.0
1.7816377171215882,3.8503311258278154,3.119205298013245,0.49337748344370863,0.35,0.0,1.7965941343424787,0.0
1.803970223325062,3.933774834437087,3.218543046357616,0.49668874172185434,0.35,0.0,1.7582781456953642,0.0
1.826302729528536,4.017218543046358,3.218543046357616,0.5033112582781457,0.35,0.0,1.7114474929044465,0.0
1.84863523573201,4.088741721854305,3.1788079470198674,0.5099337748344371,0.35,0.0,1.6603595080416271,0.0
1.870967741935484,4.160264900662252,2.9801324503311255,0.5132450331125827,0.35,0.0,1.6135288552507094,0.0
1.8933002481389578,4.231788079470199,2.7615894039735096,0.5198675496688742,0.3491012298959319,0.0,1.5709555345316935,0.0
1.9156327543424316,4.279470198675497,2.423841059602649,0.5264900662251655,0.3405865657521287,0.0,1.5581835383159885,0.0
1.9379652605459057,4.327152317880795,2.205298013245033,0.5331125827814569,0.33207190160832545,0.0,1.5922421948912016,0.0
1.9602977667493797,4.362913907284769,1.9668874172185427,0.5397350993377483,0.32355723746452225,0.0,1.6603595080416274,0.0
1.9826302729528535,4.3986754966887425,1.8079470198675494,0.5463576158940397,0.31504257332071905,0.0,1.762535477767266,0.0
2.004962779156328,4.422516556291391,1.6887417218543046,0.5529801324503311,0.30652790917691586,0.0,1.8987701040681175,0.0
2.027295285359801,4.44635761589404,1.609271523178808,0.5596026490066225,0.2980132450331126,0.0,2.056291390728477,0.0
2.0496277915632755,4.458278145695364,1.6688741721854303,0.5662251655629138,0.2980132450331126,0.0,2.2350993377483444,0.0
2.0719602977667493,4.470198675496689,1.7284768211920527,0.576158940397351,0.2980132450331126,0.0,2.4011352885525072,0.0
2.094292803970223,4.470198675496689,1.8079470198675494,0.5827814569536424,0.2980132450331126,0.0,2.5373699148533584,0.0
2.1166253101736974,4.470198675496689,1.887417218543046,0.5894039735099338,0.28949858088930935,0.0,2.6523178807947017,0.0
2.138957816377171,4.470198675496689,1.966887417218543,0.5960264900662252,0.28098391674550616,0.0,2.7417218543046356,0.0
2.161290322580645,4.470198675496689,2.0264900662251657,0.6026490066225166,0.27246925260170296,0.0,2.8098391674550616,0.0
2.1836228287841193,4.458278145695364,2.0264900662251657,0.6092715231788081,0.2639545884578997,0.0,2.8524124881740778,0.0
2.2059553349875927,4.44635761589404,2.1258278145695364,0.6192052980132451,0.2554399243140965,0.0,2.877956480605487,0.0
2.228287841191067,4.422516556291391,2.2450331125827816,0.6291390728476822,0.2469252601702933,0.0,2.894985808893094,0.0
2.250620347394541,4.386754966887418,2.3642384105960264,0.6390728476821192,0.23841059602649006,0.0,2.899243140964995,0.0
2.272952853598015,4.339072847682119,2.384105960264901,0.6456953642384107,0.23841059602649006,0.0,2.8949858088930935,0.0
2.295285359801489,4.291390728476822,2.384105960264901,0.6523178807947019,0.23841059602649006,0.0,2.8822138126773886,0.0
2.3176178660049627,4.231788079470199,2.384105960264901,0.6589403973509935,0.22989593188268684,0.0,2.843897824030274,0.0
2.3399503722084365,4.160264900662252,2.304635761589404,0.6655629139072847,0.2213812677388836,0.0,2.426679280983916,0.0
2.3622828784119108,4.052980132450331,2.185430463576159,0.6754966887417218,0.2128666035950804,0.0,2.0094607379375593,0.0
2.3846153846153846,3.8026490066225165,2.0463576158940397,0.6059602649006621,0.20435193945127716,0.0,1.5922421948912016,0.0
2.4069478908188584,3.4569536423841063,1.3311258278145695,0.5331125827814569,0.19583727530747397,0.0,1.5156102175969723,0.0
2.4292803970223327,2.956291390728477,0.6556291390728477,0.543046357615894,0.18732261116367074,0.0,0.0,0.0
2.4516129032258065,2.360264900662252,0.576158940397351,0.5496688741721854,0.1532639545884579,0.0,1.3878902554399242,0.18
2.4739454094292803,1.7284768211920531,1.2715231788079469,0.5562913907284768,0.12771996215704826,0.0,1.34957426679281,0.18
2.496277915632754,1.180132450331126,1.986754966887417,0.5629139072847682,0.12771996215704826,0.0,1.6901608325449387,0.18
2.5186104218362284,0.6913907284768213,2.1456953642384105,0.5695364238410595,0.12771996215704826,0.0,2.0264900662251657,0.0
2.5409429280397022,0.36953642384105967,2.185430463576159,0.5794701986754967,0.1021759697256386,0.0,2.358561967833491,0.0
2.5632754342431765,0.16688741721854305,2.2847682119205297,0.5860927152317881,0.07663197729422895,0.0,2.3543046357615895,0.0
2.58560794044665,0.0,2.3642384105960264,0.6721854304635762,0.0510879848628193,0.0,2.345789971617786,0.0
2.607940446650124,0.0,2.483443708609271,0.7615894039735099,0.0510879848628193,0.0,2.341532639545884,0.0
2.630272952853598,0.0,2.5231788079470197,0.7682119205298013,0.0,0.0,2.3330179754020812,0.0
2.652605459057072,0.0,2.781456953642384,0.7748344370860928,0.0,0.0,2.3287606433301793,0.0
2.674937965260546,0.0,3.0198675496688736,0.7814569536423841,0.0,0.0,2.3287606433301793,0.0
2.69727047146402,0.0,3.258278145695364,0.7880794701986755,0.0,0.0,2.333017975402081,0.0
2.7196029776674937,0.0,3.3377483443708607,0.794701986754967,0.0,0.0,2.337275307473983,0.0
2.741935483870968,0.0,3.4172185430463577,0.7980132450331127,0.0,0.0,2.345789971617786,0.0
2.7642679900744414,0.0,3.4966887417218544,0.8046357615894041,0.0,0.0,2.354304635761589,0.0
2.7866004962779156,0.0,3.3973509933774833,0.8112582781456954,0.0,0.0,2.367076631977294,0.0
2.80893300248139,0.0,3.218543046357616,0.8145695364238411,0.0,0.0,2.379848628192999,0.0
2.8312655086848633,0.0,2.8211920529801318,0.8178807947019868,0.0,0.0,2.392620624408704,0.0
2.8535980148883375,0.0,2.423841059602649,0.8245033112582782,0.0,0.0,2.4053926206244083,0.0
2.8759305210918114,0.0,1.9072847682119203,0.8311258278145697,0.0,0.0,2.422421948912015,0.0
2.898263027295285,0.0,1.370860927152318,0.8377483443708611,0.0,0.0,2.443708609271523,0.0
2.9205955334987594,0.0,0.8741721854304636,0.8443708609271525,0.0,0.0,2.4607379375591294,0.0
2.9429280397022333,0.0,0.5165562913907285,0.8509933774834438,0.0,0.0,2.4820245979186373,0.0
2.965260545905707,0.0,0.3377483443708609,0.8543046357615895,0.0,0.0,2.5033112582781456,0.0
2.9875930521091814,0.0,0.17880794701986755,0.8576158940397353,0.0,0.0,2.533112582781457,0.0
3.009925558312655,0.0,0.059602649006622516,0.860927152317881,0.0,0.0,2.5671712393566697,0.0
3.032258064516129,0.0,0.0,0.8642384105960267,0.0,0.0,2.6054872280037844,0.0
3.054590570719603,0.0,0.059602649006622516,0.8642384105960267,0.0,0.0,2.652317880794702,0.0
3.076923076923077,0.0,0.11920529801324503,0.8642384105960267,0.0,0.0,2.7076631977294223,0.0
3.099255583126551,0.0,0.11920529801324503,0.8642384105960267,0.0,0.0,2.758751182592242,0.0
3.1215880893300247,0.0,0.11920529801324503,0.8642384105960267,0.0,0.0,2.814096499526963,0.0
3.1439205955334986,0.0,0.11920529801324503,0.8642384105960267,0.0,0.0,2.865184484389782,0.0
3.166253101736973,0.0,0.11920529801324503,0.8642384105960267,0.0,0.0,2.920529801324503,0.0
3.1885856079404467,0.0,0.059602649006622516,0.8642384105960267,0.0,0.0,2.971617786187322,0.0
3.2109181141439205,0.0,0.0,0.8642384105960267,0.0,0.0,3.0184484389782402,0.0
3.2332506203473947,0.0,0.0,0.8642384105960267,0.0,0.0,3.056764427625355,0.0
3.255583126550868,0.0,0.0,0.8642384105960267,0.0,0.0,3.095080416272469,0.0
3.2779156327543424,0.0,0.0,0.8642384105960267,0.0,0.0,3.120624408703879,0.0
3.3002481389578167,0.0,0.0,0.8642384105960267,0.0,0.0,3.141911069063387,0.0
3.32258064516129,0.0,0.0,0.8642384105960267,0.0,0.0,3.1504257332071903,0.0
3.3449131513647643,0.0,0.0,0.8642384105960267,0.0,0.0,3.1419110690633865,0.0
3.367245657568238,0.0,0.0,0.8642384105960267,0.0,0.0,3.116367076631977,0.0
3.3895781637717124,0.0,0.0,0.8642384105960267,0.0,0.0,3.0780510879848624,0.0
3.4119106699751858,0.0,0.0,0.8642384105960267,0.0,0.0,3.01844843897824,0.0
3.43424317617866,0.0,0.0,0.8642384105960267,0.0,0.0,2.941816461684011,0.0
3.4565756823821343,0.0,0.0,0.8642384105960267,0.0,0.0,2.8524124881740773,0.0
3.4789081885856077,0.0,0.0,0.8642384105960267,0.0,0.0,2.75449385052034,0.0
3.501240694789082,0.0,0.0,0.8642384105960267,0.0,0.0,2.6523178807947017,0.0
3.5235732009925558,0.0,0.0,0.8642384105960267,0.0,0.0,2.54162724692526,0.0
3.54590570719603,0.0,0.0,0.8642384105960267,0.0,0.0,2.4266792809839166,0.0
3.5682382133995034,0.0,0.0,0.8642384105960267,0.0,0.0,2.3202459791863763,0.0
3.5905707196029777,0.0,0.0,0.8642384105960267,0.0,0.0,2.2223273415326394,0.0
3.612903225806452,0.0,0.0,0.8642384105960267,0.0,0.0,2.128666035950804,0.0
3.6352357320099253,0.0,0.0,0.8642384105960267,0.0,0.0,2.03926206244087,0.0
3.6575682382133996,0.0,0.0,0.8642384105960267,0.0,0.0,1.9626300851466412,0.0
3.6799007444168734,0.0,0.0,0.8642384105960267,0.0,0.0,1.9030274361400186,0.0
3.7022332506203472,0.0,0.0,0.8642384105960267,0.0,0.0,1.8604541154210024,0.0
3.7245657568238215,0.0,0.0,0.8642384105960267,0.0,0.0,1.8306527909176913,0.0
3.7468982630272953,0.0,0.0,0.8642384105960267,0.0,0.0,1.8221381267738879,0.0
3.769230769230769,0.0,0.0,0.8642384105960267,0.0,0.0,1.8306527909176913,0.0
3.791563275434243,0.0,0.0,0.8642384105960267,0.0,0.0,1.8561967833491009,0.0
3.8138957816377173,0.0,0.0,0.8642384105960267,0.0,0.0,1.8945127719962154,0.0
3.836228287841191,0.0,0.0,0.8642384105960267,0.0,0.0,1.9456007568590348,0.0
3.858560794044665,0.0,0.0,0.8642384105960267,0.0,0.0,2.000946073793756,0.0
3.880893300248139,0.0,0.0,0.8642384105960267,0.0,0.0,2.06480605487228,0.0
3.903225806451613,0.0,0.0,0.8642384105960267,0.0,0.0,2.1201513718070006,0.0
3.925558312655087,0.0,0.0,0.8642384105960267,0.0,0.0,2.1669820245979183,0.0
3.9478908188585606,0.0,0.0,0.8642384105960267,0.0,0.0,2.1967833491012296,0.0
3.970223325062035,0.0,0.0,0.8642384105960267,0.0,0.0,2.2180700094607375,0.0
3.9925558312655083,0.0,0.0,0.8642384105960267,0.0,0.0,2.2180700094607375,0.0
4.0148883374689825,0.0,0.0,0.8642384105960267,0.0,0.0,2.2052980132450326,0.0
4.037220843672457,0.0,0.0,0.8642384105960267,0.0,0.0,2.1669820245979183,0.0
4.05955334987593,0.0,0.0,0.8642384105960267,0.0,0.0,2.1201513718070006,0.0
4.0818858560794045,0.0,0.0,0.8642384105960267,0.0,0.0,2.06480605487228,0.0
4.104218362282879,0.0,0.0,0.8642384105960267,0.0,0.0,2.009460737937559,0.0
4.126550868486353,0.0,0.0,0.8642384105960267,0.0,0.0,1.9456007568590346,0.0
4.148883374689826,0.0,0.0,0.8642384105960267,0.0,0.0,1.8817407757805105,0.0
4.1712158808933,0.0,0.0,0.8642384105960267,0.0,0.0,1.822138126773888,0.0
4.193548387096774,0.0,0.0,0.8642384105960267,0.0,0.0,1.7753074739829704,0.0
4.215880893300248,0.0,0.0,0.8642384105960267,0.0,0.0,1.7284768211920525,0.0
4.238213399503723,0.0,0.0,0.8642384105960267,0.0,0.0,1.6901608325449382,0.0
4.260545905707196,0.0,0.0,0.8642384105960267,0.0,0.0,1.6518448438978237,0.0
4.28287841191067,0.0,0.0,0.8642384105960267,0.0,0.0,1.6220435193945126,0.0
4.305210918114144,0.0,0.0,0.8642384105960267,0.0,0.0,1.5922421948912013,0.0
4.327543424317618,0.0,0.0,0.8642384105960267,0.0,0.0,1.5581835383159885,0.0
4.349875930521092,0.0,0.0,0.860927152317881,0.0,0.0,1.5241248817407755,0.0
4.3722084367245655,0.0,0.0,0.8576158940397353,0.0,0.0,1.4943235572374642,0.0
4.39454094292804,0.0,0.0,0.8543046357615895,0.0,0.0,1.4602649006622517,0.0
4.416873449131513,0.0,0.0,0.8509933774834438,0.0,0.0,1.4347209082308419,0.0
4.439205955334987,0.0,0.0,0.8476821192052981,0.0,0.0,1.400662251655629,0.0
4.461538461538462,0.0,0.0,0.8443708609271525,0.0,0.0,1.3751182592242195,0.0
4.483870967741936,0.0,0.0,0.8410596026490068,0.0,0.0,1.34957426679281,0.0
4.506203473945409,0.0,0.0,0.8377483443708611,0.0,0.0,1.3240302743614,0.0
4.528535980148883,0.0,0.0,0.8344370860927154,0.0,0.0,1.3027436140018922,0.0
4.550868486352357,0.0,0.0,0.8344370860927154,0.0,0.0,1.2857142857142858,0.0
4.573200992555831,0.0,0.0,0.8344370860927154,0.0,0.0,1.2686849574266794,0.0
4.5955334987593055,0.0,0.0,0.8344370860927154,0.0,0.0,1.260170293282876,0.0
4.61786600496278,0.0,0.0,0.8344370860927154,0.0,0.0,1.2516556291390728,0.0
4.640198511166253,0.0,0.0,0.8344370860927154,0.0,0.0,1.2516556291390728,0.0
4.6625310173697265,0.0,0.0,0.8344370860927154,0.0,0.0,1.2516556291390728,0.0
4.684863523573201,0.0,0.0,0.8344370860927154,0.0,0.0,1.2559129612109743,0.0
